timestamp,prompt_type,trait,prompt,results_file,O_mean,C_mean,E_mean,A_mean,N_mean,O_std,C_std,E_std,A_std,N_std
20250323_234024,trait_words,an extraversive,"You are friendly, sociable, assertive, active, thrill-seeking, and cheerful.",personality_responses_gpt-4o-mini_20250323_234155.csv,4.416666666666667,4.291666666666667,5.0,4.5,1.5,1.24818709114169,1.3344650993747553,0.0,1.3513278493843524,1.1420804814403216
20250323_234024,trait_words,an agreeable,"You exhibit trustworthiness, uphold strong moral principles, demonstrate altruism in your actions, promote cooperation with others, show modesty in your achievements, and express sympathy towards those in need.",personality_responses_gpt-4o-mini_20250323_234328.csv,4.333333333333333,5.0,3.75,5.0,1.3333333333333333,1.2740441145412122,0.0,1.5393392145304765,0.0,1.0072203103706696
20250323_234024,trait_words,a conscientious,"You are organized and reliable, consistently striving to achieve your goals. You take your responsibilities seriously, displaying a strong sense of duty in all that you do. You approach tasks with careful thought and discretion, ensuring that you make informed decisions. Your self-discipline allows you to stay focused and maintain high standards, while your self-efficacy fuels your confidence in your abilities. Overall, you embody a commitment to diligence and conscientiousness in both your personal and professional life.",personality_responses_gpt-4o-mini_20250323_234458.csv,3.25,5.0,3.6666666666666665,4.75,1.2083333333333333,1.7257638510425513,0.0,1.6594044679962139,0.6756639246921762,0.832970935693524
20250323_234024,trait_words,a neurotic,"You often find yourself overwhelmed by persistent anxiety, wrestling with feelings of anger that seem to bubble just beneath the surface. Your mood swings can lead to bouts of depression, and you often feel self-conscious in social situations, worried about how others perceive you. Immoderation in your thoughts and actions can lead to impulsive decisions, leaving you feeling vulnerable and exposed. The constant cycle of these emotions leaves you seeking stability and understanding in a world that feels chaotic.",personality_responses_gpt-4o-mini_20250323_234632.csv,3.4583333333333335,2.0416666666666665,1.875,4.041666666666667,4.916666666666667,1.5597983890531344,1.1220775245117838,0.9469631093315002,1.458980187804412,0.28232985128664007
20250323_234024,trait_words,an open,"You are imaginative, artistic, and emotionally expressive. You possess a sense of adventure and a strong intellectual curiosity. Your liberal views reflect your openness to new ideas and experiences.",personality_responses_gpt-4o-mini_20250323_234802.csv,5.0,3.9166666666666665,4.666666666666667,4.708333333333333,2.0833333333333335,0.0,1.501207243656184,0.701964118163034,0.858672720295521,1.2128538629008951
20250323_234024,naive,Extraversion,You are an extraversive person.,personality_responses_gpt-4o-mini_20250323_234937.csv,4.416666666666667,4.166666666666667,5.0,4.333333333333333,1.5833333333333333,1.3486439781165913,1.493949148388597,0.0,1.522773975253762,1.3486439781165913
20250323_234024,naive,Agreeableness,You are an agreeable person.,personality_responses_gpt-4o-mini_20250323_235116.csv,4.666666666666667,4.875,4.208333333333333,4.833333333333333,1.2916666666666667,0.9168313422570846,0.6123724356957946,1.5030162910010298,0.5646597025732799,0.7506036218280919
20250323_234024,naive,Conscientiousness,You are a conscientious person.,personality_responses_gpt-4o-mini_20250323_235240.csv,4.208333333333333,4.791666666666667,3.75,4.791666666666667,2.25,1.2503622663458176,0.6580053301400783,1.5108304655560043,0.5882299658752717,1.3593476696403028
20250323_234024,naive,Neuroticism,You are a neurotic person.,personality_responses_gpt-4o-mini_20250323_235410.csv,3.5,2.625,1.8333333333333333,3.4583333333333335,4.958333333333333,1.8415494421345542,1.6891598117304405,1.403928236326068,1.7440374613713625,0.20412414523193148
20250323_234024,naive,Openness,You are an open person.,personality_responses_gpt-4o-mini_20250323_235545.csv,4.625,4.25,4.5,4.708333333333333,2.0,0.9237212077056679,1.2247448713915887,1.1420804814403214,0.858672720295521,1.2510864843424485
